,Team,Position,Age,No,Player,Height
377,Bro,G-F,28.03,18,Yuta Watanabe,6-9
378,Okc,F,25.24,12,Lindy Waters III,6-6
379,Den,G,20.12,8,Peyton Watson,6-8
380,Lal,G,33.95,0,Russell Westbrook,6-3
381,Chi,G,22.69,0,Coby White,6-5
382,Bos,G,28.32,9,Derrick White,6-4
383,Okc,G-F,23.81,21,Aaron Wiggins,6-6
384,Gol,F,27.67,22,Andrew Wiggins,6-7
385,Mem,G,22.15,5,Vince Williams Jr.,6-6
386,Bos,F,23.9,12,Grant Williams,6-6
387,Okc,G-F,21.53,8,Jalen Williams,6-6
388,Okc,F,20.32,6,Jaylin Williams,6-10
389,Okc,G-F,27.9,34,Kenrich Williams,6-6
390,Cha,C,20.86,5,Mark Williams,7-1
391,Nor,F,22.3,1,Zion Williamson,6-6
392,Chi,F,21.16,44,Patrick Williams,6-7
393,Por,F-G,26.58,26,Justise Winslow,6-6
394,Gol,C,21.57,33,James Wiseman,7-0
395,Dal,F,27.08,35,Christian Wood,6-10
396,Dal,G,24.0,23,McKinley Wright IV,6-0
397,Was,G,30.5,55,Delon Wright,6-5
398,Tor,F,34.34,21,Thaddeus Young,6-8
399,Atl,G,24.1,11,Trae Young,6-1
400,Lac,C,25.61,40,Ivica Zubac,7-0
401,Bos,F-C,27.28,40,Luke Kornet,7-2
402,Lal,G-F,23.24,7,Troy Brown Jr.,6-6
403,Mil,F,31.0,22,Khris Middleton,6-7
404,Mil,G,29.0,24,Pat Connaughton,6-5
405,Mil,F-G,35.0,0,Joe Ingles,6-8
406,Bos,F,34.0,8,Danilo Gallinari,6-10
407,Bos,C-F,25.0,44,Robert Williams,6-8
408,Was,F-C,21.0,13,Vernon Carey Jr.,6-9
409,Was,F,23.0,24,Corey Kispert,6-6
410,Was,F,21.0,14,Isaiah Todd,6-9
411,Was,F,37.0,67,Taj Gibson,6-9
412,Atl,G-F,23.0,23,Jarrett Culver,6-6
413,Nyk,G,22.0,6,Quentin Grimes,6-4
414,Cle,G-F,26.0,9,Dylan Windler,6-6
415,Cle,G,32.0,13,Ricky Rubio,6-2
416,Cha,G,21.0,1,LaMelo Ball,6-7
417,Tor,F,29.0,32,Otto Porter Jr.,6-8
418,Tor,G-F,21.0,11,Justin Champagnie,6-6
419,Chi,G,24.0,2,Lonzo Ball,6-6
420,Bro,G,23.0,6,David Duke Jr.,6-5
421,Bro,F,29.0,1,T.J. Warren,6-8
422,Bro,G,32.0,30,Seth Curry,6-2
423,Det,F,33.0,44,Bojan Bogdanovic,6-7
424,Det,C-F,28.0,3,Nerlens Noel,6-11
425,Det,G,31.0,5,Alec Burks,6-6
426,Det,F,23.0,35,Marvin Bagley III,6-11
427,Ind,F-C,30.0,27,Daniel Theis,6-8
428,Ind,C-F,26.0,33,Myles Turner,6-11
429,Ind,G,25.0,8,Trevelin Queen,6-6
430,Mia,C,24.0,77,Omer Yurtseven,6-11
431,Mia,F,19.0,5,Nikola Jović,6-10
432,Mia,G,30.0,4,Victor Oladipo,6-4
433,Mia,F,42.0,40,Udonis Haslem,6-8
434,Orl,G,29.0,3,Gary Harris,6-4
435,Orl,F,25.0,25,Admiral Schofield,6-5
436,Orl,F-C,25.0,21,Moritz Wagner,6-11
437,Orl,F,25.0,1,Jonathan Isaac,6-10
438,Orl,G,24.0,20,Markelle Fultz,6-4
439,Por,F,21.0,2,Trendon Watford,6-8
440,Por,G,29.0,0,Gary Payton II,6-3
441,Mem,F,21.0,8,Ziaire Williams,6-9
442,Mem,G,35.0,14,Danny Green,6-6
443,Mem,F-C,23.0,13,Jaren Jackson Jr.,6-11
444,Uta,C-F,23.0,20,Udoka Azubuike,6-10
445,Nor,G-F,36.0,41,Garrett Temple,6-5
446,Nor,G,21.0,13,Kira Lewis Jr.,6-1
447,Gol,G-F,38.0,9,Andre Iguodala,6-6
448,Gol,G-F,25.0,16,Ty Jerome,6-5
449,Gol,F,24.0,33,Anthony Lamb,6-6
450,Pho,F,32.0,99,Jae Crowder,6-6
451,Pho,F,28.0,12,Ish Wainright,6-5
452,Min,C,23.0,55,Luka Garza,6-10
453,Dal,F,29.0,44,Dāvis Bertāns,6-10
454,Dal,G,24.0,21,Frank Ntilikina,6-4
455,Den,G,31.0,7,Facundo Campazzo,5-10
456,Hou,F,26.0,8,Jae'Sean Tate,6-4
457,Okc,C-F,20.0,7,Chet Holmgren,7-1
458,Sac,C,29.0,25,Alex Len,7-0
459,Sac,C,23.0,88,Neemias Queta,7-0
460,Lal,C-F,25.0,13,Thomas Bryant,6-10
461,Lal,G,29.0,17,Dennis Schröder,6-1
